period,red1,red2,red3,red4,red5,red6,blue,red_numbers,full_number,red_sum
2014135,2,4,11,13,25,33,1,2 4 11 13 25 33,2 4 11 13 25 33 + 1,88
2014136,3,16,19,27,31,32,10,3 16 19 27 31 32,3 16 19 27 31 32 + 10,128
2014137,3,6,9,11,25,29,9,3 6 9 11 25 29,3 6 9 11 25 29 + 9,83
2014138,4,6,13,29,31,33,13,4 6 13 29 31 33,4 6 13 29 31 33 + 13,116
2014139,1,14,15,20,25,29,11,1 14 15 20 25 29,1 14 15 20 25 29 + 11,104
2014140,6,10,11,14,17,33,6,6 10 11 14 17 33,6 10 11 14 17 33 + 6,91
2014141,8,9,11,16,21,24,10,8 9 11 16 21 24,8 9 11 16 21 24 + 10,89
2014142,6,21,22,23,25,28,13,6 21 22 23 25 28,6 21 22 23 25 28 + 13,125
2014143,3,12,18,20,25,26,16,3 12 18 20 25 26,3 12 18 20 25 26 + 16,104
2014144,3,5,6,9,10,27,14,3 5 6 9 10 27,3 5 6 9 10 27 + 14,60
2014145,10,12,13,23,26,29,11,10 12 13 23 26 29,10 12 13 23 26 29 + 11,113
2014146,1,6,13,20,29,32,1,1 6 13 20 29 32,1 6 13 20 29 32 + 1,101
2014147,6,7,22,26,31,32,10,6 7 22 26 31 32,6 7 22 26 31 32 + 10,124
2014148,1,2,5,12,15,16,13,1 2 5 12 15 16,1 2 5 12 15 16 + 13,51
2014149,7,9,10,15,19,33,1,7 9 10 15 19 33,7 9 10 15 19 33 + 1,93
2014150,3,8,14,22,24,32,9,3 8 14 22 24 32,3 8 14 22 24 32 + 9,103
2014151,4,5,8,11,21,27,8,4 5 8 11 21 27,4 5 8 11 21 27 + 8,76
2014152,8,13,15,20,21,25,12,8 13 15 20 21 25,8 13 15 20 21 25 + 12,102
2015001,1,7,9,16,20,23,6,1 7 9 16 20 23,1 7 9 16 20 23 + 6,76
2015002,7,15,16,25,28,32,5,7 15 16 25 28 32,7 15 16 25 28 32 + 5,123
2015003,10,15,20,23,24,31,15,10 15 20 23 24 31,10 15 20 23 24 31 + 15,123
2015004,2,14,15,16,23,24,10,2 14 15 16 23 24,2 14 15 16 23 24 + 10,94
2015005,7,10,16,17,18,32,15,7 10 16 17 18 32,7 10 16 17 18 32 + 15,100
2015006,1,10,11,29,31,33,13,1 10 11 29 31 33,1 10 11 29 31 33 + 13,115
2015007,1,7,9,17,20,33,8,1 7 9 17 20 33,1 7 9 17 20 33 + 8,87
2015008,4,7,10,16,20,22,3,4 7 10 16 20 22,4 7 10 16 20 22 + 3,79
2015009,4,7,14,17,21,25,14,4 7 14 17 21 25,4 7 14 17 21 25 + 14,88
2015010,1,2,3,8,21,31,9,1 2 3 8 21 31,1 2 3 8 21 31 + 9,66
2015011,4,14,15,17,18,20,15,4 14 15 17 18 20,4 14 15 17 18 20 + 15,88
2015012,3,5,22,23,29,31,6,3 5 22 23 29 31,3 5 22 23 29 31 + 6,113
2015013,8,9,24,25,26,29,1,8 9 24 25 26 29,8 9 24 25 26 29 + 1,121
2015014,2,12,16,19,27,30,11,2 12 16 19 27 30,2 12 16 19 27 30 + 11,106
2015015,1,7,20,24,25,33,4,1 7 20 24 25 33,1 7 20 24 25 33 + 4,110
2015016,2,6,10,15,17,31,13,2 6 10 15 17 31,2 6 10 15 17 31 + 13,81
2015017,13,18,20,25,27,33,12,13 18 20 25 27 33,13 18 20 25 27 33 + 12,136
2015018,6,9,12,14,28,29,9,6 9 12 14 28 29,6 9 12 14 28 29 + 9,98
2015019,2,6,11,19,25,26,4,2 6 11 19 25 26,2 6 11 19 25 26 + 4,89
2015020,1,4,7,19,22,23,4,1 4 7 19 22 23,1 4 7 19 22 23 + 4,76
2015021,14,15,16,17,27,28,8,14 15 16 17 27 28,14 15 16 17 27 28 + 8,117
2015022,4,7,10,16,23,25,10,4 7 10 16 23 25,4 7 10 16 23 25 + 10,85
2015023,8,9,10,13,29,30,1,8 9 10 13 29 30,8 9 10 13 29 30 + 1,99
2015024,9,11,16,18,23,24,10,9 11 16 18 23 24,9 11 16 18 23 24 + 10,101
2015025,10,11,12,15,27,32,14,10 11 12 15 27 32,10 11 12 15 27 32 + 14,107
2015026,2,13,17,21,22,33,13,2 13 17 21 22 33,2 13 17 21 22 33 + 13,108
2015027,5,7,9,16,26,29,7,5 7 9 16 26 29,5 7 9 16 26 29 + 7,92
2015028,4,7,10,26,27,28,14,4 7 10 26 27 28,4 7 10 26 27 28 + 14,102
2015029,7,14,15,19,21,28,7,7 14 15 19 21 28,7 14 15 19 21 28 + 7,104
2015030,8,11,14,15,16,26,7,8 11 14 15 16 26,8 11 14 15 16 26 + 7,90
2015031,1,5,7,22,26,32,11,1 5 7 22 26 32,1 5 7 22 26 32 + 11,93
2015032,11,14,16,18,29,32,16,11 14 16 18 29 32,11 14 16 18 29 32 + 16,120
2015033,3,6,21,29,31,32,5,3 6 21 29 31 32,3 6 21 29 31 32 + 5,122
2015034,12,13,17,18,20,27,13,12 13 17 18 20 27,12 13 17 18 20 27 + 13,107
2015035,1,8,9,22,24,33,3,1 8 9 22 24 33,1 8 9 22 24 33 + 3,97
2015036,4,6,16,17,26,33,3,4 6 16 17 26 33,4 6 16 17 26 33 + 3,102
2015037,5,7,12,18,28,31,3,5 7 12 18 28 31,5 7 12 18 28 31 + 3,101
2015038,5,6,11,12,14,33,14,5 6 11 12 14 33,5 6 11 12 14 33 + 14,81
2015039,1,13,15,26,29,30,12,1 13 15 26 29 30,1 13 15 26 29 30 + 12,114
2015040,13,16,18,27,30,32,16,13 16 18 27 30 32,13 16 18 27 30 32 + 16,136
2015041,4,9,11,17,21,25,6,4 9 11 17 21 25,4 9 11 17 21 25 + 6,87
2015042,9,10,19,21,23,32,8,9 10 19 21 23 32,9 10 19 21 23 32 + 8,114
2015043,11,12,15,24,26,27,15,11 12 15 24 26 27,11 12 15 24 26 27 + 15,115
2015044,2,3,4,13,14,16,2,2 3 4 13 14 16,2 3 4 13 14 16 + 2,52
2015045,1,5,13,22,30,31,7,1 5 13 22 30 31,1 5 13 22 30 31 + 7,102
2015046,5,7,10,14,23,31,1,5 7 10 14 23 31,5 7 10 14 23 31 + 1,90
2015047,2,3,20,24,26,27,9,2 3 20 24 26 27,2 3 20 24 26 27 + 9,102
2015048,13,16,17,22,25,27,10,13 16 17 22 25 27,13 16 17 22 25 27 + 10,120
2015049,7,12,14,17,20,23,5,7 12 14 17 20 23,7 12 14 17 20 23 + 5,93
2015050,3,9,12,16,17,31,4,3 9 12 16 17 31,3 9 12 16 17 31 + 4,88
2015051,4,10,24,26,28,32,9,4 10 24 26 28 32,4 10 24 26 28 32 + 9,124
2015052,2,4,11,16,25,26,12,2 4 11 16 25 26,2 4 11 16 25 26 + 12,84
2015053,3,7,17,22,32,33,10,3 7 17 22 32 33,3 7 17 22 32 33 + 10,114
2015054,1,2,7,10,22,26,7,1 2 7 10 22 26,1 2 7 10 22 26 + 7,68
2015055,1,10,15,18,19,28,2,1 10 15 18 19 28,1 10 15 18 19 28 + 2,91
2015056,1,7,8,16,18,20,14,1 7 8 16 18 20,1 7 8 16 18 20 + 14,70
2015057,9,20,24,25,26,32,4,9 20 24 25 26 32,9 20 24 25 26 32 + 4,136
2015058,2,9,10,18,19,20,15,2 9 10 18 19 20,2 9 10 18 19 20 + 15,78
2015059,2,6,9,16,25,32,14,2 6 9 16 25 32,2 6 9 16 25 32 + 14,90
2015060,1,3,18,27,31,32,13,1 3 18 27 31 32,1 3 18 27 31 32 + 13,112
2015061,6,18,22,26,32,33,4,6 18 22 26 32 33,6 18 22 26 32 33 + 4,137
2015062,9,14,15,18,21,26,16,9 14 15 18 21 26,9 14 15 18 21 26 + 16,103
2015063,1,7,9,16,22,32,12,1 7 9 16 22 32,1 7 9 16 22 32 + 12,87
2015064,11,12,14,17,23,27,1,11 12 14 17 23 27,11 12 14 17 23 27 + 1,104
2015065,8,10,14,19,26,29,12,8 10 14 19 26 29,8 10 14 19 26 29 + 12,106
2015066,5,8,11,17,24,28,16,5 8 11 17 24 28,5 8 11 17 24 28 + 16,93
2015067,2,5,8,24,25,31,14,2 5 8 24 25 31,2 5 8 24 25 31 + 14,95
2015068,6,15,18,21,26,27,10,6 15 18 21 26 27,6 15 18 21 26 27 + 10,113
2015069,1,13,17,18,23,30,15,1 13 17 18 23 30,1 13 17 18 23 30 + 15,102
2015070,1,7,13,19,21,29,15,1 7 13 19 21 29,1 7 13 19 21 29 + 15,90
2015071,8,18,20,28,29,31,8,8 18 20 28 29 31,8 18 20 28 29 31 + 8,134
2015072,1,3,5,20,21,31,5,1 3 5 20 21 31,1 3 5 20 21 31 + 5,81
2015073,1,2,17,22,26,27,4,1 2 17 22 26 27,1 2 17 22 26 27 + 4,95
2015074,4,7,21,25,26,29,8,4 7 21 25 26 29,4 7 21 25 26 29 + 8,112
2015075,6,11,13,19,21,32,4,6 11 13 19 21 32,6 11 13 19 21 32 + 4,102
2015076,1,9,10,19,23,27,9,1 9 10 19 23 27,1 9 10 19 23 27 + 9,89
2015077,1,6,8,10,13,27,16,1 6 8 10 13 27,1 6 8 10 13 27 + 16,65
2015078,3,7,20,22,26,29,2,3 7 20 22 26 29,3 7 20 22 26 29 + 2,107
2015079,9,14,15,20,26,32,11,9 14 15 20 26 32,9 14 15 20 26 32 + 11,116
2015080,14,17,25,27,28,30,2,14 17 25 27 28 30,14 17 25 27 28 30 + 2,141
2015081,13,20,22,26,28,31,13,13 20 22 26 28 31,13 20 22 26 28 31 + 13,140
2015082,2,8,9,14,28,30,7,2 8 9 14 28 30,2 8 9 14 28 30 + 7,91
2015083,6,7,16,18,29,32,5,6 7 16 18 29 32,6 7 16 18 29 32 + 5,108
2015084,15,18,20,22,28,29,15,15 18 20 22 28 29,15 18 20 22 28 29 + 15,132
2015085,2,8,25,27,28,29,5,2 8 25 27 28 29,2 8 25 27 28 29 + 5,119
2015086,5,6,8,16,18,22,12,5 6 8 16 18 22,5 6 8 16 18 22 + 12,75
2015087,9,15,16,19,20,28,11,9 15 16 19 20 28,9 15 16 19 20 28 + 11,107
2015088,2,12,20,24,29,31,9,2 12 20 24 29 31,2 12 20 24 29 31 + 9,118
2015089,12,14,19,27,28,29,1,12 14 19 27 28 29,12 14 19 27 28 29 + 1,129
2015090,10,12,14,22,25,33,15,10 12 14 22 25 33,10 12 14 22 25 33 + 15,116
2015091,5,7,17,19,22,31,11,5 7 17 19 22 31,5 7 17 19 22 31 + 11,101
2015092,9,15,19,21,26,27,1,9 15 19 21 26 27,9 15 19 21 26 27 + 1,117
2015093,1,3,13,21,25,31,8,1 3 13 21 25 31,1 3 13 21 25 31 + 8,94
2015094,1,4,6,13,16,17,10,1 4 6 13 16 17,1 4 6 13 16 17 + 10,57
2015095,4,15,21,28,30,31,4,4 15 21 28 30 31,4 15 21 28 30 31 + 4,129
2015096,6,16,17,23,24,31,7,6 16 17 23 24 31,6 16 17 23 24 31 + 7,117
2015097,9,12,14,20,26,27,4,9 12 14 20 26 27,9 12 14 20 26 27 + 4,108
2015098,6,9,13,26,27,33,1,6 9 13 26 27 33,6 9 13 26 27 33 + 1,114
2015099,6,7,10,11,14,22,9,6 7 10 11 14 22,6 7 10 11 14 22 + 9,70
2015100,2,3,11,17,19,21,8,2 3 11 17 19 21,2 3 11 17 19 21 + 8,73
2015101,8,16,22,24,28,29,5,8 16 22 24 28 29,8 16 22 24 28 29 + 5,127
2015102,7,9,12,14,21,23,6,7 9 12 14 21 23,7 9 12 14 21 23 + 6,86
2015103,6,8,13,26,30,32,14,6 8 13 26 30 32,6 8 13 26 30 32 + 14,115
2015104,9,18,21,23,25,26,1,9 18 21 23 25 26,9 18 21 23 25 26 + 1,122
2015105,9,10,16,19,20,26,12,9 10 16 19 20 26,9 10 16 19 20 26 + 12,100
2015106,1,3,4,23,31,32,13,1 3 4 23 31 32,1 3 4 23 31 32 + 13,94
2015107,7,14,16,18,21,25,8,7 14 16 18 21 25,7 14 16 18 21 25 + 8,101
2015108,2,12,19,22,24,27,15,2 12 19 22 24 27,2 12 19 22 24 27 + 15,106
2015109,1,8,9,16,32,33,13,1 8 9 16 32 33,1 8 9 16 32 33 + 13,99
2015110,5,7,16,17,22,23,4,5 7 16 17 22 23,5 7 16 17 22 23 + 4,90
2015111,8,14,16,18,20,30,12,8 14 16 18 20 30,8 14 16 18 20 30 + 12,106
2015112,1,3,10,19,20,27,11,1 3 10 19 20 27,1 3 10 19 20 27 + 11,80
2015113,1,5,7,8,19,27,12,1 5 7 8 19 27,1 5 7 8 19 27 + 12,67
2015114,4,7,9,13,21,26,1,4 7 9 13 21 26,4 7 9 13 21 26 + 1,80
2015115,1,7,8,14,24,32,3,1 7 8 14 24 32,1 7 8 14 24 32 + 3,86
2015116,4,6,15,23,26,28,11,4 6 15 23 26 28,4 6 15 23 26 28 + 11,102
2015117,4,11,12,18,26,32,12,4 11 12 18 26 32,4 11 12 18 26 32 + 12,103
2015118,1,4,11,21,23,31,12,1 4 11 21 23 31,1 4 11 21 23 31 + 12,91
2015119,2,8,10,18,23,31,8,2 8 10 18 23 31,2 8 10 18 23 31 + 8,92
2015120,16,21,24,26,27,29,16,16 21 24 26 27 29,16 21 24 26 27 29 + 16,143
2015121,1,3,20,21,28,29,12,1 3 20 21 28 29,1 3 20 21 28 29 + 12,102
2015122,5,7,11,16,22,25,7,5 7 11 16 22 25,5 7 11 16 22 25 + 7,86
2015123,5,8,9,12,22,28,7,5 8 9 12 22 28,5 8 9 12 22 28 + 7,84
2015124,2,3,5,12,18,27,1,2 3 5 12 18 27,2 3 5 12 18 27 + 1,67
2015125,5,13,22,27,30,33,10,5 13 22 27 30 33,5 13 22 27 30 33 + 10,130
2015126,10,11,15,20,23,29,12,10 11 15 20 23 29,10 11 15 20 23 29 + 12,108
2015127,7,10,19,22,27,33,6,7 10 19 22 27 33,7 10 19 22 27 33 + 6,118
2015128,1,3,8,11,22,28,6,1 3 8 11 22 28,1 3 8 11 22 28 + 6,73
2015129,5,8,11,16,18,27,4,5 8 11 16 18 27,5 8 11 16 18 27 + 4,85
2015130,6,14,15,16,17,22,10,6 14 15 16 17 22,6 14 15 16 17 22 + 10,90
2015131,10,12,13,19,22,26,3,10 12 13 19 22 26,10 12 13 19 22 26 + 3,102
2015132,3,5,11,28,30,33,1,3 5 11 28 30 33,3 5 11 28 30 33 + 1,110
2015133,2,3,13,20,22,24,15,2 3 13 20 22 24,2 3 13 20 22 24 + 15,84
2015134,2,5,14,19,27,31,4,2 5 14 19 27 31,2 5 14 19 27 31 + 4,98
2015135,1,12,14,18,26,32,7,1 12 14 18 26 32,1 12 14 18 26 32 + 7,103
2015136,2,5,12,23,28,29,1,2 5 12 23 28 29,2 5 12 23 28 29 + 1,99
2015137,14,22,23,27,28,31,12,14 22 23 27 28 31,14 22 23 27 28 31 + 12,145
2015138,1,2,8,16,19,24,11,1 2 8 16 19 24,1 2 8 16 19 24 + 11,70
2015139,1,10,13,18,25,27,9,1 10 13 18 25 27,1 10 13 18 25 27 + 9,94
2015140,6,20,28,29,30,31,12,6 20 28 29 30 31,6 20 28 29 30 31 + 12,144
2015141,3,8,19,25,27,28,2,3 8 19 25 27 28,3 8 19 25 27 28 + 2,110
2015142,13,17,19,20,22,25,11,13 17 19 20 22 25,13 17 19 20 22 25 + 11,116
2015143,13,15,19,20,21,32,4,13 15 19 20 21 32,13 15 19 20 21 32 + 4,120
2015144,1,4,7,15,28,32,16,1 4 7 15 28 32,1 4 7 15 28 32 + 16,87
2015145,7,8,15,19,20,24,13,7 8 15 19 20 24,7 8 15 19 20 24 + 13,93
2015146,16,17,21,28,30,32,15,16 17 21 28 30 32,16 17 21 28 30 32 + 15,144
2015147,8,9,16,23,24,30,5,8 9 16 23 24 30,8 9 16 23 24 30 + 5,110
2015148,9,13,14,22,26,27,7,9 13 14 22 26 27,9 13 14 22 26 27 + 7,111
2015149,9,10,20,21,22,33,9,9 10 20 21 22 33,9 10 20 21 22 33 + 9,115
2015150,1,3,8,11,29,31,13,1 3 8 11 29 31,1 3 8 11 29 31 + 13,83
2015151,5,6,8,23,31,32,11,5 6 8 23 31 32,5 6 8 23 31 32 + 11,105
2015152,11,18,19,21,29,32,12,11 18 19 21 29 32,11 18 19 21 29 32 + 12,130
2015153,8,11,15,22,27,29,3,8 11 15 22 27 29,8 11 15 22 27 29 + 3,112
2015154,7,9,11,15,18,25,7,7 9 11 15 18 25,7 9 11 15 18 25 + 7,85
2016001,6,13,16,18,20,22,13,6 13 16 18 20 22,6 13 16 18 20 22 + 13,95
2016002,9,14,17,20,24,30,16,9 14 17 20 24 30,9 14 17 20 24 30 + 16,114
2016003,1,10,14,23,26,28,1,1 10 14 23 26 28,1 10 14 23 26 28 + 1,102
2016004,8,10,17,22,25,33,12,8 10 17 22 25 33,8 10 17 22 25 33 + 12,115
2016005,11,14,18,20,31,33,14,11 14 18 20 31 33,11 14 18 20 31 33 + 14,127
2016006,13,16,18,20,28,31,12,13 16 18 20 28 31,13 16 18 20 28 31 + 12,126
2016007,5,12,14,20,27,29,6,5 12 14 20 27 29,5 12 14 20 27 29 + 6,107
2016008,2,15,24,29,32,33,2,2 15 24 29 32 33,2 15 24 29 32 33 + 2,135
2016009,10,14,24,25,27,32,4,10 14 24 25 27 32,10 14 24 25 27 32 + 4,132
2016010,2,4,12,14,19,25,6,2 4 12 14 19 25,2 4 12 14 19 25 + 6,76
2016011,3,8,10,15,22,29,12,3 8 10 15 22 29,3 8 10 15 22 29 + 12,87
2016012,7,12,14,16,27,32,15,7 12 14 16 27 32,7 12 14 16 27 32 + 15,108
2016013,7,12,21,22,26,31,1,7 12 21 22 26 31,7 12 21 22 26 31 + 1,119
2016014,2,8,10,18,20,27,7,2 8 10 18 20 27,2 8 10 18 20 27 + 7,85
2016015,1,2,14,22,25,26,7,1 2 14 22 25 26,1 2 14 22 25 26 + 7,90
2016016,1,20,22,24,25,26,16,1 20 22 24 25 26,1 20 22 24 25 26 + 16,118
2016017,5,6,8,20,22,30,5,5 6 8 20 22 30,5 6 8 20 22 30 + 5,91
2016018,12,13,14,17,21,25,4,12 13 14 17 21 25,12 13 14 17 21 25 + 4,102
2016019,6,13,16,17,23,30,10,6 13 16 17 23 30,6 13 16 17 23 30 + 10,105
2016020,1,2,10,12,22,24,10,1 2 10 12 22 24,1 2 10 12 22 24 + 10,71
2016021,9,11,13,22,24,26,5,9 11 13 22 24 26,9 11 13 22 24 26 + 5,105
2016022,4,9,19,22,23,30,7,4 9 19 22 23 30,4 9 19 22 23 30 + 7,107
2016023,3,6,10,19,25,29,7,3 6 10 19 25 29,3 6 10 19 25 29 + 7,92
2016024,2,5,7,14,18,31,13,2 5 7 14 18 31,2 5 7 14 18 31 + 13,77
2016025,4,11,12,17,24,30,12,4 11 12 17 24 30,4 11 12 17 24 30 + 12,98
2016026,4,9,12,28,30,33,1,4 9 12 28 30 33,4 9 12 28 30 33 + 1,116
2016027,11,13,15,17,19,31,5,11 13 15 17 19 31,11 13 15 17 19 31 + 5,106
2016028,6,8,12,21,25,29,1,6 8 12 21 25 29,6 8 12 21 25 29 + 1,101
2016029,12,15,18,20,21,27,15,12 15 18 20 21 27,12 15 18 20 21 27 + 15,113
2016030,10,14,19,22,25,29,12,10 14 19 22 25 29,10 14 19 22 25 29 + 12,119
2016031,3,8,10,19,26,33,3,3 8 10 19 26 33,3 8 10 19 26 33 + 3,99
2016032,8,12,14,15,21,27,15,8 12 14 15 21 27,8 12 14 15 21 27 + 15,97
2016033,6,17,18,20,27,29,15,6 17 18 20 27 29,6 17 18 20 27 29 + 15,117
2016034,3,15,21,22,23,28,15,3 15 21 22 23 28,3 15 21 22 23 28 + 15,112
2016035,4,13,19,20,26,29,11,4 13 19 20 26 29,4 13 19 20 26 29 + 11,111
2016036,3,4,7,9,20,22,3,3 4 7 9 20 22,3 4 7 9 20 22 + 3,65
2016037,6,15,26,31,32,33,16,6 15 26 31 32 33,6 15 26 31 32 33 + 16,143
2016038,3,12,13,22,28,29,3,3 12 13 22 28 29,3 12 13 22 28 29 + 3,107
2016039,1,3,7,18,19,27,16,1 3 7 18 19 27,1 3 7 18 19 27 + 16,75
2016040,3,13,19,20,23,26,3,3 13 19 20 23 26,3 13 19 20 23 26 + 3,104
2016041,12,17,18,21,22,24,4,12 17 18 21 22 24,12 17 18 21 22 24 + 4,114
2016042,7,14,17,23,26,31,9,7 14 17 23 26 31,7 14 17 23 26 31 + 9,118
2016043,5,14,20,26,30,33,12,5 14 20 26 30 33,5 14 20 26 30 33 + 12,128
2016044,1,3,10,12,18,30,1,1 3 10 12 18 30,1 3 10 12 18 30 + 1,74
2016045,4,9,12,17,30,32,3,4 9 12 17 30 32,4 9 12 17 30 32 + 3,104
2016046,7,20,25,26,27,30,14,7 20 25 26 27 30,7 20 25 26 27 30 + 14,135
2016047,2,5,8,15,17,22,16,2 5 8 15 17 22,2 5 8 15 17 22 + 16,69
2016048,3,8,13,14,15,30,4,3 8 13 14 15 30,3 8 13 14 15 30 + 4,83
2016049,6,8,13,14,22,27,10,6 8 13 14 22 27,6 8 13 14 22 27 + 10,90
2016050,9,12,24,28,29,30,2,9 12 24 28 29 30,9 12 24 28 29 30 + 2,132
2016051,1,2,4,9,15,33,12,1 2 4 9 15 33,1 2 4 9 15 33 + 12,64
2016052,1,6,13,19,24,28,16,1 6 13 19 24 28,1 6 13 19 24 28 + 16,91
2016053,2,8,10,12,29,31,1,2 8 10 12 29 31,2 8 10 12 29 31 + 1,92
2016054,6,11,16,19,28,32,4,6 11 16 19 28 32,6 11 16 19 28 32 + 4,112
2016055,5,6,10,16,22,26,11,5 6 10 16 22 26,5 6 10 16 22 26 + 11,85
2016056,3,4,8,11,16,18,14,3 4 8 11 16 18,3 4 8 11 16 18 + 14,60
2016057,7,12,19,22,23,26,11,7 12 19 22 23 26,7 12 19 22 23 26 + 11,109
2016058,3,5,18,20,24,32,11,3 5 18 20 24 32,3 5 18 20 24 32 + 11,102
2016059,4,11,12,20,25,28,15,4 11 12 20 25 28,4 11 12 20 25 28 + 15,100
2016060,4,5,22,26,29,32,8,4 5 22 26 29 32,4 5 22 26 29 32 + 8,118
2016061,5,6,8,18,20,32,8,5 6 8 18 20 32,5 6 8 18 20 32 + 8,89
2016062,12,13,15,18,19,21,9,12 13 15 18 19 21,12 13 15 18 19 21 + 9,98
2016063,16,17,18,23,28,32,7,16 17 18 23 28 32,16 17 18 23 28 32 + 7,134
2016064,3,12,14,17,19,26,3,3 12 14 17 19 26,3 12 14 17 19 26 + 3,91
2016065,13,16,22,25,26,27,14,13 16 22 25 26 27,13 16 22 25 26 27 + 14,129
2016066,3,7,13,18,19,20,5,3 7 13 18 19 20,3 7 13 18 19 20 + 5,80
2016067,9,13,18,20,27,31,4,9 13 18 20 27 31,9 13 18 20 27 31 + 4,118
2016068,8,19,23,28,31,32,1,8 19 23 28 31 32,8 19 23 28 31 32 + 1,141
2016069,8,10,11,20,21,27,11,8 10 11 20 21 27,8 10 11 20 21 27 + 11,97
2016070,3,6,11,18,23,29,1,3 6 11 18 23 29,3 6 11 18 23 29 + 1,90
2016071,19,21,26,28,29,32,1,19 21 26 28 29 32,19 21 26 28 29 32 + 1,155
2016072,5,16,19,22,24,25,2,5 16 19 22 24 25,5 16 19 22 24 25 + 2,111
2016073,9,11,12,15,16,20,13,9 11 12 15 16 20,9 11 12 15 16 20 + 13,83
2016074,6,10,11,12,20,25,12,6 10 11 12 20 25,6 10 11 12 20 25 + 12,84
2016075,1,3,6,16,29,32,7,1 3 6 16 29 32,1 3 6 16 29 32 + 7,87
2016076,7,8,13,22,30,32,1,7 8 13 22 30 32,7 8 13 22 30 32 + 1,112
2016077,1,9,17,19,20,29,10,1 9 17 19 20 29,1 9 17 19 20 29 + 10,95
2016078,2,4,8,23,26,29,2,2 4 8 23 26 29,2 4 8 23 26 29 + 2,92
2016079,1,3,10,12,24,28,2,1 3 10 12 24 28,1 3 10 12 24 28 + 2,78
2016080,1,16,17,24,25,32,14,1 16 17 24 25 32,1 16 17 24 25 32 + 14,115
2016081,2,6,15,25,30,32,7,2 6 15 25 30 32,2 6 15 25 30 32 + 7,110
2016082,6,12,14,15,17,20,9,6 12 14 15 17 20,6 12 14 15 17 20 + 9,84
2016083,9,16,17,24,30,31,4,9 16 17 24 30 31,9 16 17 24 30 31 + 4,127
2016084,2,4,12,18,24,26,5,2 4 12 18 24 26,2 4 12 18 24 26 + 5,86
2016085,1,12,19,20,21,25,16,1 12 19 20 21 25,1 12 19 20 21 25 + 16,98
2016086,9,10,11,12,15,32,5,9 10 11 12 15 32,9 10 11 12 15 32 + 5,89
2016087,2,3,10,11,14,21,12,2 3 10 11 14 21,2 3 10 11 14 21 + 12,61
2016088,3,14,16,18,25,33,15,3 14 16 18 25 33,3 14 16 18 25 33 + 15,109
2016089,1,3,14,30,31,32,8,1 3 14 30 31 32,1 3 14 30 31 32 + 8,111
2016090,2,13,17,20,21,26,7,2 13 17 20 21 26,2 13 17 20 21 26 + 7,99
2016091,4,8,14,22,23,28,7,4 8 14 22 23 28,4 8 14 22 23 28 + 7,99
2016092,2,13,15,23,24,29,6,2 13 15 23 24 29,2 13 15 23 24 29 + 6,106
2016093,6,9,15,17,25,27,9,6 9 15 17 25 27,6 9 15 17 25 27 + 9,99
2016094,6,7,10,12,18,31,10,6 7 10 12 18 31,6 7 10 12 18 31 + 10,84
2016095,1,5,9,12,18,32,12,1 5 9 12 18 32,1 5 9 12 18 32 + 12,77
2016096,6,13,14,21,22,24,16,6 13 14 21 22 24,6 13 14 21 22 24 + 16,100
2016097,6,13,25,26,28,31,1,6 13 25 26 28 31,6 13 25 26 28 31 + 1,129
2016098,2,8,25,29,31,32,6,2 8 25 29 31 32,2 8 25 29 31 32 + 6,127
2016099,1,11,21,23,27,33,6,1 11 21 23 27 33,1 11 21 23 27 33 + 6,116
2016100,3,10,22,23,27,29,4,3 10 22 23 27 29,3 10 22 23 27 29 + 4,114
2016101,1,3,19,24,32,33,1,1 3 19 24 32 33,1 3 19 24 32 33 + 1,112
2016102,5,8,10,14,17,30,13,5 8 10 14 17 30,5 8 10 14 17 30 + 13,84
2016103,1,5,13,19,24,27,11,1 5 13 19 24 27,1 5 13 19 24 27 + 11,89
2016104,5,9,11,18,30,31,4,5 9 11 18 30 31,5 9 11 18 30 31 + 4,104
2016105,8,10,19,27,28,31,16,8 10 19 27 28 31,8 10 19 27 28 31 + 16,123
2016106,4,5,13,22,25,30,4,4 5 13 22 25 30,4 5 13 22 25 30 + 4,99
2016107,6,11,18,26,27,32,1,6 11 18 26 27 32,6 11 18 26 27 32 + 1,120
2016108,2,3,7,8,19,26,16,2 3 7 8 19 26,2 3 7 8 19 26 + 16,65
2016109,9,11,15,16,27,33,5,9 11 15 16 27 33,9 11 15 16 27 33 + 5,111
2016110,5,7,28,31,32,33,8,5 7 28 31 32 33,5 7 28 31 32 33 + 8,136
2016111,2,4,7,14,15,32,4,2 4 7 14 15 32,2 4 7 14 15 32 + 4,74
2016112,6,12,14,15,18,25,12,6 12 14 15 18 25,6 12 14 15 18 25 + 12,90
2016113,1,11,16,17,20,26,14,1 11 16 17 20 26,1 11 16 17 20 26 + 14,91
2016114,5,16,20,22,27,29,9,5 16 20 22 27 29,5 16 20 22 27 29 + 9,119
2016115,6,8,20,22,26,27,9,6 8 20 22 26 27,6 8 20 22 26 27 + 9,109
2016116,7,18,20,23,27,31,13,7 18 20 23 27 31,7 18 20 23 27 31 + 13,126
2016117,3,10,14,17,28,33,2,3 10 14 17 28 33,3 10 14 17 28 33 + 2,105
2016118,9,14,22,23,31,33,14,9 14 22 23 31 33,9 14 22 23 31 33 + 14,132
