Word,Derivatives,English Definition
optimum,optimums,the best or most desirable
option,optional; optionally; optical; optic; optative,a choice or possibility
oral,orality; orals,by mouth
organ,organism; organization; organist; organic; organically,large wind instrument similar to a piano
organism,organ; organization; organist; organic; organismic,"living thing, often one that is small"
orient,orientation; oriental,to focus your attention or efforts on something
orientation,orient; orienteer; oriental; orientational; oriented,"the ability to locate oneself in your environment with reference to time, place, and people"
oscillation,oscillator; oscillated; oscillating; oscillates; oscillate,"movement, from side to side at a steady speed; a frequent change in size, strength, or direction between two limits"
outcomes,outcome,results
outer,outermost; outward,on or around something
outlet,outlets,"a way for something to be released; a pipe, hole or wire through which gas, liquid or electricity flows"
output,outputting; outputted,the amount produced; information produced by a system
overall,overalls,considering everything; total
overhead,overheads,located above your head or in the sky
overlap,overlapped; overlapping,To lie over or cover a part of something else
overseas,oversea,in or to another country across the sea
overview,overviews,a description of the main features of something
oxidize,oxidation; oxidization; oxidizer; oxidic; oxidative,to convert (an element) into an oxide; combine with oxygen - to rust
oxygen,oxygenation; oxygenic; oxygenous,"a gas in the air that has no smell or taste, and that all animals need to breathe"
painful,painfulness; painfuller; painfully; painlessly; pained,causing or feeling physical pain or hurt
panel,panelist; panelled; panelling,a group of people or a flat board
par,parity; parer; parable; parred; parring,the usual amount
paradigm,paradigms,a set of ideas that are used for understanding or explaining something
paradox,paradoxical; paradoxically,"a saying that seems contrary to popular belief, but which may be true"
paragraph,paragraphing; paragraphic; paragraphed; paragraphs,a section of writing about one idea
parallel,parallelism; parallelize; parallelly; parallelization; parallelled,side by side and never meeting; similar
parameter,parameters; parameterize,"a characteristic or constant factor, a limit."
parameters,parameter; parametric; parametrically; parameterize,limits or factors defining a system
parcel,parcelled; parcelling,"a package or box wrapped in paper, a thing bigger than a letter that is sent in the mail"
pardon,pardoner; pardonable; pardonably,to excuse
parental,parented; parenting; parents; parent; parenthood,"concerning, or provided by, a parent"
parenthesis,parentheses; parenthetical; parenthetically,"one of two symbols ( and ), used in writing"
partial,partition; partialness; partiality; partible; parted,not complete; being only part of something
partially,partial; partition; partialness; partiality; partied,in part; in some degree; not wholly
participation,participate; participant; participatory; participator; participial,the act of taking part
particle,particles,a very small piece of something
partition,partial; partitive; partible; parted; partied,"a wall, screen, or piece of glass used to separate one area from another"
partnership,partner; partnered; partnering; partners,a relationship in which people or organizations work together
passive,passivity; passively; passion; passiveness; passer,accepting without action; a grammar form receiving an action
pathway,pathways,a path or way that you can walk
peasant,peas; peasants,"a person of low social status, usually who works on a farm"
perceived,perceive; perception; perceptive; perceivable; perceiving,noticed or understood in a particular way
percent,percentage; percentile,one part in every hundred
period,periodic; periodically; periodization; periodical,a length of time; a punctuation mark
periodic,period; periodization; periodicity; periodical; periodically,"happening regularly, but not frequently"
peripheral,peripheralization; peripherality; peripheralize,not connected to the main or important part of something
persistent,persist; persistence; persistently; persisted; persisting,continuing despite difficulty
perspective,perspectival; prospective,a point of view or way of seeing something
pest,pester; pests,an unwanted insect or small animal that eats plants or food supplies
pesticide,pesticides,a chemical substance used to kill pests
phase,phased; phasing,a stage in a process
phenomenal,phenomenalism,"unusual, remarkable"
phenomenon,phenomena; phenomenal; phenomenally,"an observable event, fact, or situation"
philosopher,philosophical; philosophism; philosophic; philosophically; philosophized,a person who studies ideas about things such as the meaning of life and truth
philosophical,philosopher; philosophism; philosophic; philosophically; philosophized,concerning philosophy
philosophy,philosopher; philosophical; philosophically; philosophism; philosophic,the study of fundamental questions; guiding principles
phonological,phonologist; phonologic,concerning sound
phosphate,phosphor; phosphates,a salt or compound used to help grown plants
photographic,photographer; photographical; photographically; photographed; photographing,concerning the art of making images with cameras
physical,physics; physically; physician; physicality; physicist,relating to the body or material things
physically,physics; physical; physicality; physicist; physicalism,in a manner related to the body
physician,physicians,a medical doctor
physics,physical; physically; physicist; physic; phys,"the study of heat, light, and other forms of energy and how they affect objects"
physiological,physiologist; physiologic,concerning how the body functions
pi,,the ratio of the circumference to the diameter of a circle; approximately equal to 3.14
planner,planned; planning,notebook for recording appointments or things to do
plantation,planter; planted; planting; plants; plant,"a large area of plants, usually in a hot climate"
plausible,plausibleness; plausive; plausibly,being reasonable and possibly true
plug,plugged; plugging,an electrical connector; to fill or close tightly so liquid or air cannot pass
plural,pluralization; plurality; pluralist; pluralism; pluralized,refers to more than one person or thing
plus,pluses,added to; an advantage
polar,polarization; polarity; polarized; polarizing; polarize,concerning the areas near the North or South poles
pole,poled; poling,"a long, narrow piece of metal or wood, that is used to hold or support something"
policy,policies,a plan or rule adopted by an organization or government
politically,politicization; politer; political; politic; politicized,in connection with government matters
portfolio,portfolios,a list of the financial assets held by an individual or other financial institution
portion,portional; apportion; portability; porter; porism,a part or share
portray,portrayal; portrayed; portraying; portrays,"to represent something or someone in a particular way, often for artistic purposes"
portrayal,portray; portrayed; portraying; portrays,"the way that something or someone is represented in a book, film, picture or other context"
posed,pose; position; positioning,presented or asked; positioned
positive,positivity; positively; position; positiveness; posited,"certain, helpful, or greater than zero"
positively,positive; positiveness; positives,definitely or certainly
poster,posterity; postal; posted; posting; posts,"a large, printed notice or picture"
postgraduate,postgraduates,graduate studying for a further degree
potassium,,"a common, soft, silvery white metal that is usually used for farming or industrial purposes"
potential,potentially; potentiality; potent,"possible ability, capacity, or future development"
powder,powdered; powdering; powders,a dry substance made up of very small pieces
practitioner,practitioners,"a person working in a profession, such as medicine"
practitioners,practice; practical; practitioner,people who work in a profession
pragmatic,pragmatist; pragmatism; pragmaticism; pragmatical; pragmatically,"dealing with problems in a reasonable, practical manner"
pre,pres; prion,a prefix meaning 'before'
precede,preceding; preceded,to go before
preceding,precede; precedence; precedent; precise; preceded,coming before
precipitate,precipitation; precipitateness; precipitance; precipitable; precipitous,to cause to happen
precipitation,precipitate; precipitateness; precipitance; precipitator; precipitable,"rain, snow or hail"
precise,precision; precisely; preciseness; preciser,exact and accurate
predator,predated; predating; predates,an animal that feeds itself by killing and eating other animals
predicted,predict; prediction; predictive; predictability; predictor,said what would happen in the future
prediction,predicted; predication; predictability; predictor; predictive,a statement of what will happen next.
predominantly,predominant,"in a way that is larger, greater or has more power than others"
prejudice,prejudiced; prejudicing,"an unreasonable hatred for a group of people, usually a race or a religion"
preliminary,preliminarily; preliminaries,before
presume,presumable; presumed; presuming,to think that something is probably true
presumption,presume; presumptive; presumably,a belief based on probability; an assumption
prevalence,prevalent,"widespread, common, general"
previous,previously; prevision,coming before in time or order
prey,preyed; preying; preys,an animal that is killed and eaten by another animal
primary,primarily; primer; primness; primmer; primal,main or first in importance
prime,primacy; primer; primal; primed; priming,most important; best quality; to prepare
primer,primary; primness; primmer; primal; primarily,a book that covers the basics of a subject; a kind of paint
primitive,primitiveness; primitively,being of an early time period in the past
principal,principally; principality; principalship,main; the head of a school or organization
principle,principled; principal,"a basic rule, law, or belief"
prior,priority; prioritize; prioritization; prier; pryor,earlier or more important
priority,prior; prioritize; prioritization; priors; priories,something treated as more important
probe,probation; probability; probable; probed; probing,a system or piece of equipment that is used to get information; in medicine: a long thin instrument used for looking inside your body
problematic,problematical; problematically,being difficult to deal with or fix
procedure,procedural; procedurally; proceed,an established way of doing something
process,processor; procession; processable,a series of actions; to deal with or prepare
processor,process; procession; processable; processed; processing,a machine or company that prepares something and makes it ready for use
productive,production; productiveness; productively; products; product,doing a lot of work and achieving a lot
productivity,productive; productively; produce; production,rate at which something is made or that people work
professional,profession; professionalism; professionally; professions; professionalize,relating to paid skilled work; an expert
profound,profoundness; profounder,showing a lot of deep knowledge or thought
progression,progressive; progressist; progressionist; progressively; progressed,process of developing over time
progressive,progression; progressiveness; progressist; progressively; progressed,believing in modern ideas about social change
prohibited,prohibit; prohibition; prohibitive; prohibitor; prohibitively,not allowed
project,projection; projector; projective,a planned piece of work; to estimate or show forward
projection,project; projector; projectionist; projective; projected,an image on a screen
prominent,prominence; prominently,being important or well known
promote,promotion; promotional; promoter; promoted; promoting,"to support, encourage, or raise in rank"
pronounce,pronouncement; pronounceable; pronounced; pronouncing,to make the sound of a word or letter with your voice
proportion,proportional; proportionally; proportionate,a part in relation to the whole
proposition,proposer; proposal; propositional; proposed; proposing,an idea; a suggestion
prospect,prospective; prospectively; prospector,a possibility or expected future event
protocol,protocols,a set of rules; computers use protocol so they can exchange information
proton,protonic; protons,a very small part of an atom that has a positive electrical charge
psychiatric,psychiatrist,concerning or used in psychiatry
psychologist,psychologism; psychological; psychologically; psychologize,an expert who studies the mind and behavior
psychology,psychological; psychologically; psychologies,the study of the mind and how it affects behaviour
publication,publish; published; publisher; publicity; publicist,the act of publishing; a published work
publish,publisher; publishable,"to prepare a book, journal, magazine and make it available"
published,publish; publication; publisher; publishable; publishing,made available in print or online
pulse,pulsation; pulsed; pulsing,beat of the heart
punch,puncher; punched; punching; punches,to make a quick hit with a closed hand
punish,punishment; punishable,to make someone suffer for bad behavior
punishment,punish; punishable; punished; punishing; punishes,the act of punishing someone
purchase,purchaser; purchased; purchasing; purchasable,to buy; something bought
purely,pureness; purer; pureed; purees; pure,for no other reason; only and completely
pursue,pursuit; pursuer; pursuant; pursued; pursuing,to follow or try to achieve
puzzle,puzzlement; puzzler; puzzled; puzzling,a problem that requires thought and skill to be solved
qualitative,qualitatively,"concerning how good something is, rather than quantity"
quantitative,quantitation,the describing or measuring of quantity.
quantum,quantize; quantization,the smallest unit or amount of energy
questionnaire,questionnaires,form used to get information from many people
quiz,quizzical; quizzes,a game in which players answer questions on a specific topic
quotation,quotability; quotable; quoted; quoting; quotas,"words that a person has said or written in a play, book or movie"
rack,racked; racking; racks,"a frame, stand or hook on which things are set or hung"
radar,radars,a device that sends out radio waves for finding out the position of another object
radiation,radical; radiance; radiator; radial; radiational,"energy that is radiated or transmitted in the form of rays, waves or particles."
radical,radically; radicalism; radicalize,extreme or fundamental
radius,radiuses,a given area or a range around a certain point; a line from the center of a circle to its edge
rainfall,rainfalls,water falling from the sky
random,randomly; randomize; randomization; randomness; randomized,without a definite pattern or plan
randomize,random; randomization; randomness; randomized; randomizing,to arrange in a random order
randomly,random; randomize; randomization; randomness; randomized,with no pattern or clear purpose; by chance
range,ranging; ranged; ranger,a variety or extent; to vary between limits
ratio,rational; rationale; rationalize,a relationship between two quantities
rational,rationality; ration; rationalization; rationalness; rationalist,sensible; based on facts
rationality,rational; rationalization; rationalness; rationalist; rationalism,being able to think clearly
ray,rays; rayless,the lines of light coming from an object
reaction,react; reactive; reactor; reactance; reacted,a response to something
reactive,reactor; reaction; reactivation; reactance; reacted,easily reacting to; responsive
reactor,reaction; reactive; reactance; reacted; reacting,device to control nuclear energy as a power source
readily,readiness; readier; readied; readying; readies,in a quick and easy manner
realism,realization; realness; reality; realer; realist,"accepting things as they are, not as you want"
realistic,realist; realistically; realists,looks or appears real; like things really are
realm,realms,the area ruled by a king or queen
receptor,reception; receptive; receptively; recept,a device that receives information; in physiology: a nerve ending that changes stimuli into impulses
recipe,recipes,directions for making something
reconstruct,reconstruction; reconstructed; reconstructing; reconstructs,to rebuild something after it has been destroyed
recovery,recover; recoverable; recovered; recoveries,a return to normal after difficulty or illness
refine,refinement; refined; refinery; refiner; refining,to improve by making small changes
regime,regimes,a system of management; a form of government
region,regional; regionally,an area or part of a country or the world
registered,register; registration; registrar; registering; registers,officially recorded
regression,regressor; regressive; regressed; regressing; regress,going back; in statistics: a type of correlational procedure that focuses on predicting the values of an outcome based on its correlation with another variable.
regulations,regulate; regulation; regulatory; regulator; regulable,official rules
rehabilitation,rehabilitated; rehabilitating; rehabilitates; rehabilitate,"a scheme to help someone who has been ill or in prison to return to a healthy, independent, and useful life"
reinforce,reinforced; reinforcement; reinforcing,to strengthen
reinforced,reinforce; reinforcement; reinforcing; reinforces,strengthened or supported
rejected,reject; rejection; rejective; rejecting; rejects,refused or not accepted
rejection,rejected; rejective; rejecting; rejects; reject,the act of refusing to consider or believe something
relaxed,relax; relaxation; relaxing; relaxer; relaxes,calm; made less strict
release,released; releasing; releasable,to let go or make available
relevant,relevance; relevantly; irrelevant; relevancy,closely connected or appropriate
reliability,reliance; reliable; rely; reliably; relied,a quality that makes someone or something dependable and deserving of trust
reliance,rely; reliable; reliability; reliably; relied,dependence on someone or something
reluctant,reluctance; reluctantly; reluct,unwilling or hesitant
removed,remove; removal; removable; remover; removing,taken away or distant
render,rendition; rending; rends; rend,"to cause someone or something to behave in a particular way, or to enter into a particular condition"
repertoire,repertoires,a collection of skills or accomplishments.
replacement,replaceable; replaced; replacing; replaces; replace,"the act of putting something new in the place of something that is old, broken or missing"
replicate,replication; replicable; replicated; replicating,"to repeat something, such as an experiment, study or process"
replication,replicate; replicability; replicator; replicable; replicated,the act of making copies
reproduce,reproduced; reproducing,to make a copy of something
reproduction,reproductive; reproducible; reproducibly; reproduced; reproducing,the process that produces the next generation
republic,republics,a country governed by elected representatives
required,require; requirement; requisite; requiring; requires,needed or demanded
research,researcher; researched; researching; researches,careful study to discover facts
resemble,resembled; resembling,to be similar to someone or something in looks or manner
reservoir,reservoirs,"a lake, usually artificial, where water is collected and stored for the use of a community or industry"
resident,reside; residence; residential; resided; residing,a person living in a place; living somewhere
residual,residues; residuary,"concerning the last little bit, after the rest has gone or ended"
residue,residual; residues,left over after part or most is taken away
resistant,resistance; resister; resistor; resist; resistive,not affected by something
resolution,resolve; resolute; resolvable; resoluteness,a solution; a formal decision; image sharpness
resources,resource; resourceful; resourcing; resourcefully,"supplies, money, people, or materials available for use"
respiratory,respiration; respirator; respire,to do with breathing
response,respond; responsive; responsively; responsory,an answer or reaction
restore,restoration; restorative; restored; restorer; restoring,to return something to a former condition
restraints,restrain; restraint; restrained,"controls, limits, or restrictions"
restricted,restrict; restriction; restrictive; restrictively; restricting,limited or controlled
retained,retain; retention; retainer; retainability; retaining,kept or continued to have
retrieve,retriever; retrieval; retrievable; retrieved; retrieving,to find and get something from somewhere
revealed,reveal; revelation; revealing; reval; revive,made known or shown
revenue,revenues; revenuer,"income, especially of a government or company"
reverse,reversal; reversible; reversibly; reversion; reversed,opposite; to change to the opposite direction
revision,revise; revised; revisable; reviser; revisionist,a change or review of something
revolution,revolve; revolutionary; revolutionize; revolutionist; revolutionism,a major change; overthrow of government; a full turn
revolutionary,revolution; revolutionist; revolutionism; revolutionized; revolutionizing,a significant change in something
rewrite,rewriting; rewrites,"to write again to improve, or correct errors"
rhetoric,rhetor; rhetorical; rhetorically,the study of public speaking or writing techniques
rhythm,rhythmist; rhythmical; rhythmic; rhythmically; rhythmless,a pattern of sound and beats in music
ridiculous,ridiculousness; ridiculously; ridiculed; ridiculing; ridicules,"something that deserves laughter, is foolish or funny"
rigid,rigidity; rigidly; rigidness; rigidify,stiff or not flexible
ritual,ritualist; ritualism; ritualize,performed as part of a formal ceremony
robot,robotic; robotically; robotize,a mechanical creature that acts like a human
role,roles,a function or part played by someone or something
rope,roper; roped; roping,a thick string made by twisting many fibers together
rotate,rotation; rotter; rotor; rotted; rotated,to move or turn around a central point
rotation,rotate; rotter; rotor; rotator; rotational,movement in a circle around a central point
route,routed; routing; router,a way or path from one place to another
rub,rubber; rubbed; rubbing,to move something back and forth along a surface
ruler,ruled; ruling; rules,someone who has control over a country or area
scatter,scatted; scatting,to make things separate and go in different directions
scenario,scenarios,an outline; an imagined sequence of events in a plan or project
schedule,scheduled; scheduling; scheduler,a plan of times or events
scheme,schematic; schematically; schemer; schemed; scheming,a plan or system
scholarship,scholars; scholar,money given to a student to pay for education
scope,scoped; scoping,the range or extent covered
scripture,scriptural; scriptures,the holy books of a particular religion
scroll,scrolled; scrolling; scrolls,a long rolled piece of paper with writing on it; to move up and down a computer screen
secrete,secretion; secretive; secreted; secreting; secretory,to produce a liquid
section,sectional; sectionally; sector,a part of a larger whole
sector,sectoral; section; sectorial; sectary,"a part of an economy, activity, or area"
security,secure; secured; securely; securer; securing,safety or protection; a financial instrument
sediment,sedition; sedimentation; sedimentary,the material that settles to the bottom of a liquid
select,selection; selective; selectively; selectness; selector,to choose carefully
selective,select; selection; selectness; selector; selectable,choosing through thoughtful comparison
semantic,semanticist; semantical; semantically,the different meanings of words
semester,semesters,half a year in school or college
semi,semis,a prefix meaning 'half'
seminar,seminarist; seminars,a small class at a college or university
sensation,sensory; sensible; sensor; sensational; sensibly,"a feeling that is experienced by the body, usually through the sense of touch"
sensible,sensory; sensation; sensibleness; sensor; sensibly,having the ability to judge something reasonably
sensitivity,sensitives; sensitivities,being sensitive; in physiology: the ability of an organism or part of an organism to react to stimuli; in electronics: the ability of a radio device to react to incoming signals
sensory,sense; sensation; sensitive,"referring to the five senses (hearing, sight, smell, taste and touch)"
separately,separation; separateness; separated; separating; separates,not with another person or thing
separation,separateness; separability; separator; separatist; separatism,a line that seperates; a point of parting; a gap
sequence,sequential; sequentially; sequencing; sequencer; sequenced,the order in which things follow one another
series,serial; serialize; serious; serially; seriously,a number of things arranged one after another
sex,sexual; sexuality; sexually; sexist; sexism,biological category; sexual activity
sexuality,sexual,characterized and distinguished by sex
shallow,shallowness; shallower,not deep; a small distance between the lowest and highest point
shift,shifting; shifted; shifts; shiftless,to change or move; a change
shortly,shortness; shorter; shorted; shorting; shorts,quickly; soon
shuttle,shuttled; shuttling,a vehicle that carries passengers or items between two places
significant,significance; significantly,important or large enough to matter
similar,similarity; similarly,alike but not identical
similarity,similar; similarities,the degree to which people or things are the same
simplify,simplification; simplified; simpler,"to make something easier to do, use or understand"
simulate,simulation; simulated; simulating; simulant,"to look, feel, or behave like something; to copy"
simulation,simulate; simulator; simulated; simulating; simulates,a copy; a method that is used to study and analyze the characteristics of the real world
simultaneously,simultaneousness; simultaneous,at the same time as
sin,sinner; sinfully; sinned; sinning; sinless,a bad act; to do something bad
singular,singularization; singularity; singularize,one
site,situate; situated; siting,a place or location
sketch,sketcher; sketched; sketching; sketches,a drawing made quickly that lacks detail
skip,skipper; skipped; skipping,to not do; to jump
slab,slabber; slabbed; slabbing,"a thick, flat slice of something"
slash,slasher; slashed; slashing; slashes,to cut violently
slavery,slave; enslave; enslavement,"(n,) the state of being a slave"
slot,slotter; slotted; slotting,"a long narrow opening, into which you put or fit something"
snake,snaked; snaking,an animal with with a long thin body and no arms or legs
sneeze,sneezed; sneezing,to loudly blow air out of your nose or mouth in a sudden uncontrolled way
sniff,sniffer; sniffed; sniffing; sniffs,to smell by short intakes of air.
socialize,socialization; sociality; socialist; socialism; social,to teach people to behave in a way which is acceptable in their culture; to spend time with people
socially,socialize; socialization; sociality; socialist; socialism,being with other people
sodium,,"a soft, white chemical element"
solar,solarism; solarize,"concerning the sun, or its heat"
solely,sole; soled; soling; soles; soleure,only
soluble,solubles,"can be mixed with a liquid, e.g. salt is soluble in water"
solute,solution; solutes,"a substance that has dissolved in a solvent and become part of the liquid, so that they form a solution"
solvent,solver; solvable; solved; solving; solves,something that dissolves or can melt another substance
sometime,sometimes,at an unknown time in the future
somewhat,somewhats,to some degree
sophisticate,sophistication; sophistical; sophistic; sophisticated; sophisticating,to make more complex or refined
sought,seek; seeker; seeking,tried to find or obtain
source,sourced; sourcing; sourceless,the origin or place something comes from
span,spanner; spanned; spanning,the amount of time something lasts
spatial,spatter; spatted; spatting; spats; spates,about space
specialty,specialization; specialist; specialism; special; specialized,the specific area of your field
specific,specify; specification; specifically; specificity; specif,exact or particular
specification,specific; specificity; specifically; specifics,a detailed description of the design and materials used to make something.
specified,specify; specification; specific; specificity; specifier,clearly stated or named
specimen,specimens,"an example of something, especially of a plant or an animal; a small amount of blood or urine"
spectrum,spectrums,the wavelengths of colors from red to violet
sperm,spermic; spermous; spermary,male sex cell
sphere,spheres,a round 3D object. e.g. a ball
splice,splicer; spliced; splicing,act of connecting two pieces of rope or wire into one
sponsorship,sponsor; sponsored; sponsoring; sponsors,money given to a student to pay for education
spontaneous,spontaneity; spontaneously,"something that happens on its own, seemingly without cause"
spray,sprayer; sprayed; spraying; sprays,to make water or liquid fly in very small drops
stability,stable; stabilize; stabilization; stabler; stabled,the state of being steady and not changing
stabilize,stability; stabilization; stabilizer; stabilized; stabilizing,"to make something stable or consistent, with no major changes"
stack,stacked; stacking; stacks,To put one thing on top of another e.g. books
stadium,stadiums,very large building with a sports field and rows of seats all around that is used for various events
stance,stances,a position or opinion that is stated to the public
standardize,standardization; standardized; standardizing; standards; standard,to change something in order to make everything the same or make everything agree
static,station; stater; stator; statist; statism,being unchangeable or unmovable
statistical,statistics; statistically; statist; statistic,about statistics
statistically,statistics; statistical; statist; statistic,with respect to statistics
statistics,statistical; statistically; statist; statistic,a type of mathematics that provide specific information or prove something
status,state; stated; statues; statuary,"a position, rank, or condition"
stereotype,stereotyped; stereotyping,"an idea or belief about what someone or something is like, often unfair or untrue"
stimulus,stimulate; stimulation; stimulatory,something that makes a change.
straightforward,straightforwardly,easy to do or understand; not complicated
strand,stranded; stranding; strands,something that is plaited or twisted as a rope-like length
strategic,strategist; strategical; strategically,concerned with strategy; well thought out
strategies,strategy; strategic; strategically; strategical,plans for achieving goals
stress,stressful; stressor,"pressure, strain, or emphasis"
strictly,striction; strictness; stricter; strict; stricture,restricted to something
stripe,striped; striping,"a long, thin part of something which is a different color from the parts beside it"
structure,structural; structurally; structured; structuring; structureless,the arrangement of parts
styles,style; stylistic; stylize; stylization; stylist,"manners, designs, or ways of doing something"
sub,subbed; subbing,a prefix meaning 'under' or 'instead of'
subjective,subjection; subjectiveness; subjectively; subjected; subjecting,"the use of personal feelings and opinions, rather than facts"
submitted,submit; submission; submissive; submitter; submittal,gave for consideration or approval
subordinate,subordination; subordinately; subordinated; subordinating; subordinary,lower in rank or less important
subsequent,subsequently; subsequence,coming after something else
subset,subsets,a small set which is part of a larger set
subsidiary,subsidize; subsidy; subsidiarily; subsidies; subsidiaries,secondary; a company controlled by another company
substitution,substituted; substituting; substitutes; substitute; substituent,a person or thing acting or serving in place of another; to put (a person or thing) in the place of another.
substrate,substratum,a substance which a catalyst or enzyme has an effect on
subtle,subtler; subtlety,"difficult to notice, understand, or see"
subtract,subtraction; subtracted; subtracting; subtracts,"to take away, e.g. 20 - 5 = 15"
successive,success; succession; successively; successor; successfully,following one after another
sufficient,sufficiency; sufficiently; insufficient,enough
sufficiently,sufficient,to a degree great enough to do something
suicide,suicidal; suicides,the act of purposely killing yourself because you no longer wish to live
sum,summary; summation; summarize; sumer; summer,the total amount; a summary
summary,summarize; summarization; summarily; summation; summer,a short statement of the main points
super,superior; superlative; supremely,of the highest quality; great; marvelous
superior,superiority; superiors,better; higher quality
supplementary,supplement; supplemental; supplementation; supplemented; supplementing,additional
supposedly,supposed,as some people believe (shows you doubt it)
surgeon,surgeons,a doctor who performs surgery
surgical,surgically; surged; surging; surges; surg,concerning surgery
surplus,surplussed; surplussing,extra; more than is needed
survey,surveyed; surveying; surveyor; surveys,a questionnaire or study; to look over
survive,survival; survivor; surviving; survivability; survived,to continue living or existing
susceptible,susceptive; susceptibly,at risk of developing a certain illness or problem
suspended,suspend; suspension; suspense; suspender; suspending,temporarily stopped; hung from above
sustainable,sustainment; sustainability; sustainably; sustained; sustaining,capable of continuing for a long time at the same level; does not damage the environment
swap,swapper; swapped; swapping,to trade or exchange
swell,sweller; swelled; swelling; swells,"to become larger than normal, often because of injury"
sword,swords,a long metal weapon with a sharp point and edge
syllable,syllables,a unit of speech
syllabus,syllabuses,the teaching schedule for a course in a school or university
symbolic,symbolization; symbolist; symbolism; symbolical; symbolically,representing a larger quality
syndrome,syndromes,a group of signs and symptoms that accompany a disease
syntactic,syntactical; syntactically,grammatical
syntax,syntactic; syntactically,"the study of a system, such as the system of words in a sentence"
synthesis,synthesize; synthetic; synthetically,building something complex from simple parts
synthetic,synthetical; synthetically,not natural; made from artificial materials
systematic,systematization; systematist; systematism; systematical; systemic,"done in a thorough, logical or planned way"
tapes,tape; taped; taping; taper; tapper,narrow strips of material; recordings
target,targeted; targeting; targets,a goal or object aimed at
task,tasks; tasked; tasking,a piece of work to be done
team,teammate; teamwork,a group working together
tech,techs,short for 'technology' or 'technician'
technical,technique; technology; technically; technicality; technic,relating to specialized practical knowledge
technically,technical; technicality; technic,in an exact and particular manner
techniques,technique; technical; technically,methods of doing something
technology,technical; technological; technologically; technologies,the practical application of scientific knowledge
temporal,temporary; temporization; temporarily; temporized; temporizing,concerning time
temporary,temporarily; temporariness; temporal; temporization; temporized,lasting for a limited time
tempt,temptation; tempter,"to make someone want something, even if it's bad"
tense,tension; tenseness; tenser; tensed; tensing,stretched tight and stiff
tension,tense; tensile; tensional; tenseness; tensity,mental or physical strain; tightness
terminal,termination; terminable,the end of something
termination,terminate; terminal; terminable; terminator; terminally,an ending
terminology,terminological; terminologies,specific words and expressions used in a particular field
terribly,terrible,to an extreme degree; badly; very
text,textual; textually; texture,written words
textbook,textbooks,a book that is used to study
theme,thematic; thematically,the main subject or idea
theorem,theorems,a statement that can be proved
theorist,theorized; theorizing; theorize,a person who forms new ideas
theory,theorize; theorist; theoretical; theoretically; theorized,a system of ideas explaining something
thereby,,by that means; because of that
thermal,thermic; therm,with reference to some source of heat
thesis,theses,a long essay; a position taken in an argument supported by a set of reasons
thickness,thicker; thick,the distance between the opposite edges of a thing
thread,threader; threaded; threading; threads,"a long, very thin, soft material used to join or make cloth"
threshold,thresholds,a level or point at which something would start or stop happening.
thumb,thumbed; thumbing; thumbs,"the short, thick finger on the side of your hand"
tolerance,toleration; tolerable; tolerably; tolerantly; tolerant,"a willingness to let people do, say or believe what they wish, without judging or challenging them"
ton,toner; tonal; tonic; tonically,a unit of weight equal to 907 kilograms
topic,topical; topically; topper; topped; topping,a subject of discussion
toxic,toxicity; toxicant; toxically,poisonous; harmful
trace,tracing; traceable; traceless; tracer; traced,a small amount or mark; to find by following evidence
tract,traction; tractor; tractable; tractably,a large stretch of land
traditional,tradition; traditionally; traditionist; traditionalist; traditionalism,based on long-established customs
traditionally,traditional; tradition; traditionist; traditionalist; traditionalism,something done in a customary or traditional manner
trait,traitor; traits,a characteristic
trajectory,trajectories,the path followed by an object moving through space
trans,transition; transship,"a prefix meaning 'across', 'through' or 'changing thoroughly'"
transaction,transactor; transactional; transacted; transacting; transacts,an exchange; in business this usually involves money
transcribe,transcriber; transcribed; transcribing,to write something spoken
transcription,transcriptionist; transcriptional; transcripts; transcript,something written
transfer,transference; transferable; transferral; transferrer; transferor,"to move from one place, person, or situation to another"
transformation,transformer; transformism; transformational; transformed; transforming,a complete change in shape or form of something
transition,transitional; transitioning,a change from one state or stage to another
translation,translatability; translator; translational; translatable; translated,changing from one form to another. e.g. changing from one language to another
transmission,transmissive; transmissible,an electronic signal that has been sent by radio waves; a force that has been transferred from one machine to another
transmit,transmitter; transmitted; transmitting,to broadcast by using electrical signals to a radio or TV
transparency,transparently; transparencies; transparent,the amount you can see through something
transplant,transplantation; transplanted; transplanting; transplants,a medical operation in which a new organ is placed inside a patient's body
transport,transportation; transporter; transportable,to move people or goods from one place to another
trauma,traumas,a very severe or upsetting experience
treaty,treaties,an agreement between nations
tremendous,tremendously,"having great size, excellence, or power"
trend,trendy; trending; trended; trends,a general direction of change or development
triangle,triangles,a closed shape with three straight sides
tribe,tribal; tribes,"a racial group united by language, religion and customs"
tricky,trick; trickily; trickiness,difficult to do or deal with; something that needs skill
trigger,triggered; triggering; triggers,to cause something to happen; a device that starts an action
trivial,trivialization; triviality; trivialized; trivializing; trivialize,unimportant
tropical,tropism; tropic; tropes; tropics; tropicalize,hot and humid; near to the equator
tumor,tumorous; tumors,a mass of abnormal cells that develops when cancerous cells divide and grow uncontrollably
turbulent,turbulence; turbulently,moving violently and unevenly
tutor,tutorial; tutoring; tutorship,a teacher
ultimate,ultimately,"happening or coming at the end of process, final"
ultimately,ultimate,in the end
undergo,underwent; undergone,to experience or be subjected to something
undergraduate,undergraduates,a college student who is working toward his or her first degree
